"DATES" "FL664090005.Q" "FL663020003.Q" "FL664004005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069803.Q" "FL663064103.Q" "FL663067003.Q" "FL663090005.Q" "FL664190005.Q" "FL662150005.Q" "FL664104005.Q" "FL663163003.Q" "FL663168005.Q" "FL663170003.Q" "FL663167005.Q" "FL663167003.Q" "FL763067005.Q" "FL753067000.Q" "FL663178003.Q" "FL663190005.Q" "FL663192003.Q" "FL663194005.Q" "FL663193005.Q"
"195704" 5477.00 547.00 1354.00 0.00 449.00 0.00 200.00 705.00 0.00 771.00 2805.00 0.00 5585.00 -1620.00 0.00 0.00 0.00 250.00 5907.00 986.00 4221.00 700.00 25.00 1023.00 237.00 0.00 786.00
"195801" 5439.00 537.00 1220.00 0.00 332.00 0.00 325.00 563.00 0.00 628.00 3054.00 0.00 5544.00 -1793.00 0.00 0.00 0.00 250.00 6042.00 1049.00 4200.00 793.00 22.00 1023.00 237.00 0.00 786.00
"195802" 6731.00 537.00 1940.00 0.00 867.00 0.00 370.00 703.00 0.00 768.00 3486.00 0.00 6830.00 -1837.00 0.00 0.00 0.00 250.00 7370.00 1152.00 5400.00 818.00 24.00 1023.00 237.00 0.00 786.00
"195803" 5303.00 549.00 775.00 0.00 199.00 0.00 215.00 361.00 0.00 425.00 3554.00 0.00 5395.00 -1784.00 0.00 0.00 0.00 260.00 5876.00 1231.00 3700.00 945.00 30.00 1013.00 237.00 0.00 776.00
"195804" 6071.00 571.00 1242.00 0.00 604.00 0.00 215.00 423.00 0.00 488.00 3770.00 0.00 6152.00 -1829.00 0.00 0.00 0.00 260.00 6677.00 1275.00 4661.00 741.00 33.00 1011.00 235.00 0.00 776.00
"195901" 5426.00 590.00 825.00 0.00 408.00 0.00 275.00 142.00 0.00 207.00 3804.00 0.00 5496.00 -1895.00 0.00 0.00 0.00 270.00 6084.00 1391.00 3900.00 793.00 38.00 999.00 234.00 0.00 765.00
"195902" 5480.00 602.00 719.00 0.00 275.00 0.00 250.00 194.00 0.00 258.00 3901.00 0.00 5542.00 -1915.00 0.00 0.00 0.00 270.00 6152.00 1234.00 4100.00 818.00 35.00 1000.00 236.00 0.00 764.00
"195903" 5598.00 605.00 882.00 0.00 401.00 0.00 180.00 301.00 0.00 364.00 3747.00 0.00 5650.00 -1856.00 0.00 0.00 0.00 280.00 6188.00 1143.00 4100.00 945.00 46.00 992.00 238.00 0.00 754.00
"195904" 6171.00 600.00 1232.00 0.00 428.00 0.00 302.00 502.00 0.00 566.00 3773.00 0.00 6212.00 -1850.00 0.00 0.00 0.00 280.00 6737.00 1096.00 4868.00 773.00 50.00 995.00 239.00 0.00 756.00
"196001" 4962.00 599.00 637.00 0.00 158.00 0.00 276.00 203.00 0.00 266.00 3460.00 0.00 4998.00 -1837.00 0.00 0.00 0.00 290.00 5520.00 1087.00 3500.00 933.00 36.00 989.00 243.00 0.00 746.00
"196002" 5303.00 601.00 896.00 0.00 204.00 0.00 457.00 235.00 0.00 299.00 3507.00 0.00 5338.00 -1858.00 0.00 0.00 0.00 290.00 5876.00 1118.00 3800.00 958.00 33.00 997.00 251.00 0.00 746.00
"196003" 6040.00 610.00 1405.00 0.00 580.00 0.00 450.00 375.00 0.00 440.00 3585.00 0.00 6075.00 -1905.00 0.00 0.00 0.00 290.00 6645.00 1165.00 4400.00 1080.00 39.00 1006.00 259.00 0.00 747.00
"196004" 6700.00 624.00 1891.00 0.00 1021.00 0.00 400.00 470.00 0.00 536.00 3649.00 0.00 6715.00 -1833.00 0.00 0.00 0.00 290.00 7215.00 1249.00 5117.00 849.00 48.00 995.00 249.00 0.00 746.00
"196101" 5882.00 642.00 1207.00 0.00 543.00 0.00 443.00 221.00 0.00 11.00 4022.00 0.00 5890.00 -1865.00 0.00 0.00 0.00 300.00 6397.00 1658.00 4000.00 739.00 67.00 991.00 256.00 0.00 735.00
"196102" 6677.00 660.00 1383.00 0.00 517.00 0.00 504.00 362.00 0.00 152.00 4482.00 0.00 6671.00 -1994.00 0.00 0.00 0.00 300.00 7313.00 1408.00 4927.00 978.00 61.00 991.00 258.00 0.00 733.00
"196103" 6719.00 676.00 1525.00 0.00 763.00 0.00 473.00 289.00 0.00 77.00 4441.00 0.00 6698.00 -2001.00 0.00 0.00 0.00 300.00 7334.00 1350.00 5100.00 884.00 71.00 994.00 260.00 0.00 734.00
"196104" 7648.00 688.00 2043.00 0.00 1305.00 0.00 333.00 405.00 0.00 194.00 4723.00 0.00 7642.00 -2134.00 0.00 0.00 0.00 300.00 8390.00 1341.00 6190.00 859.00 63.00 1023.00 287.00 0.00 736.00
"196201" 6940.00 690.00 1852.00 0.00 1142.00 0.00 479.00 231.00 0.00 19.00 4379.00 0.00 6934.00 -2004.00 0.00 0.00 0.00 310.00 7544.00 1269.00 5400.00 875.00 66.00 1018.00 292.00 0.00 726.00
"196202" 6749.00 683.00 1968.00 0.00 1122.00 0.00 538.00 308.00 0.00 97.00 4001.00 0.00 6746.00 -2005.00 0.00 0.00 0.00 310.00 7380.00 1511.00 5259.00 610.00 38.00 1023.00 296.00 0.00 727.00
"196203" 7219.00 668.00 2014.00 0.00 1146.00 0.00 425.00 443.00 0.00 232.00 4305.00 0.00 7219.00 -1899.00 0.00 0.00 0.00 320.00 7750.00 1200.00 5800.00 750.00 33.00 1015.00 299.00 0.00 716.00
"196204" 8431.00 648.00 2964.00 0.00 1976.00 0.00 523.00 465.00 0.00 255.00 4564.00 0.00 8391.00 -2131.00 0.00 0.00 0.00 320.00 9197.00 1338.00 7150.00 709.00 28.00 977.00 261.00 0.00 716.00
"196301" 7249.00 652.00 1923.00 0.00 1048.00 0.00 636.00 239.00 0.00 29.00 4645.00 0.00 7208.00 -2195.00 0.00 0.00 0.00 325.00 8064.00 1293.00 6000.00 771.00 40.00 974.00 264.00 0.00 710.00
"196302" 8206.00 655.00 1972.00 0.00 963.00 0.00 643.00 366.00 0.00 156.00 5423.00 0.00 8157.00 -2233.00 0.00 0.00 0.00 325.00 9051.00 1264.00 6878.00 909.00 40.00 974.00 263.00 0.00 711.00
"196303" 8870.00 671.00 2202.00 0.00 1394.00 0.00 494.00 314.00 0.00 104.00 5893.00 0.00 8809.00 -2392.00 0.00 0.00 0.00 330.00 9852.00 1298.00 7400.00 1154.00 52.00 967.00 261.00 0.00 706.00
"196304" 9167.00 672.00 1921.00 0.00 718.00 0.00 514.00 689.00 0.00 479.00 6095.00 0.00 9108.00 -2580.00 0.00 0.00 0.00 330.00 10319.00 1331.00 7900.00 1088.00 57.00 982.00 276.00 0.00 706.00
