,Primary Dealer,Start Date,End Date
66,"LLOYDS GOV'T SECURITIES, INC.      ",1987-12-22 00:00:00,1989-04-28 00:00:00
67,THE NIKKO SECURITIES CO. INT'      ,1987-12-22 00:00:00,1999-01-03 00:00:00
68,SHEARSON LEHMAN                     ,1988-01-01 00:00:00,1990-07-31 00:00:00
69,"SANWA-BGK SECURITIES CO., L.P.     ",1988-06-20 00:00:00,1993-12-31 00:00:00
70,"DILLON, READ & CO., INC.           ",1988-06-24 00:00:00,1997-09-02 00:00:00
71,"S.G. WARBURG & CO., INC.            ",1988-06-24 00:00:00,1995-07-26 00:00:00
72,"WERTHEIM SCHRODER & CO., INC.       ",1988-06-24 00:00:00,1990-11-08 00:00:00
73,MANUFACTURERS HANOVER SECURITIES COR,1988-08-01 00:00:00,1991-12-31 00:00:00
74,HARRIS GOVERNMENT SECURITIES       ,1988-09-01 00:00:00,1992-12-30 00:00:00
75,"COUNTY NATWEST GOV. SEC., INC.      ",1988-09-29 00:00:00,1989-01-13 00:00:00
76,"YAMAICHI INT'L (AMERICA), INC.     ",1988-09-29 00:00:00,1997-12-04 00:00:00
77,"CONTINENTAL BANK, NATIONAL ASSOC.   ",1988-12-15 00:00:00,1991-08-30 00:00:00
78,"CHASE SECURITIES, INC               ",1988-12-20 00:00:00,1996-03-31 00:00:00
79,"CHEMICAL SECURITIES, INC.          ",1989-04-01 00:00:00,1991-12-31 00:00:00
80,"CITICORP SECURITIES MARKETS, INC.   ",1989-04-14 00:00:00,1993-07-14 00:00:00
81,BT SECURITIES CORPORATION           ,1989-07-10 00:00:00,1997-10-22 00:00:00
82,"BNY SECURITIES, INC.                ",1989-08-01 00:00:00,1990-08-09 00:00:00
83,BARCLAYS DE ZOETE WEDD GSI          ,1989-12-07 00:00:00,1990-03-01 00:00:00
84,UBS SECURITIES INC.                ,1989-12-07 00:00:00,1996-02-29 00:00:00
85,FUJI SECURITIES INC.               ,1989-12-28 00:00:00,2002-03-31 00:00:00
86,FIRST CHICAGO CAPITAL MARKETS      ,1990-01-02 00:00:00,1999-03-31 00:00:00
87,BARCLAYS DE ZOETE WEDD SECURITIES IN,1990-03-02 00:00:00,1996-06-30 00:00:00
88,"SBC GOVERNMENT SECURITIES, INC.",1990-03-29 00:00:00,1995-01-02 00:00:00
89,LEHMAN GOVERNMENT SECURITIES INC    ,1990-08-01 00:00:00,1995-08-30 00:00:00
90,DEUTSCHE BANK GSI                   ,1990-12-13 00:00:00,1993-09-30 00:00:00
91,PRUDENTIAL SECURITIES INCORPO  ,1991-02-25 00:00:00,2000-12-01 00:00:00
92,CHEMICAL SECURITIES INC            ,1992-01-01 00:00:00,1996-03-31 00:00:00
