Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,Holding_Company_RSSD_ID,holding_company_name,permco,gvkey,linkdt,linkenddt
62,THOMSON MCKINNON SECURITIES INC.   ,1986/12/11,00:00.0,1568833,,,,7267,,
63,WESTPAC POLLOCK GOV'T SECURITIES INC,1987/2/4,00:00.0,1920226,1858646,,,7003,,
64,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",1987/5/8,00:00.0,,,,,7003,,
65,"L.F.ROTHSCHILD & CO., INC.     ",1987/5/18,00:00.0,,,,,,,
66,CHASE MANHATTAN CAPITAL MARKETS CORP,1987/7/1,00:00.0,1041680,1040795,,20432,2943,1965/3/15,00:00.0
67,"CRT GOVERNMENT SECURITIES,INC.     ",1987/12/22,00:00.0,,,,,30128,,
68,"LLOYDS GOV'T SECURITIES, INC.      ",1987/12/22,00:00.0,1686193,1020500,,,30128,,
69,THE NIKKO SECURITIES CO. INT'      ,1987/12/22,00:00.0,1606463,,,,12406,,
70,SHEARSON LEHMAN                     ,1988/1/1,00:00.0,2386593,,,,30128,,
71,"SANWA-BGK SECURITIES CO., L.P.     ",1988/6/20,00:00.0,,,,,,,
72,"DILLON, READ & CO., INC.           ",1988/6/24,00:00.0,1573293,,,,12223,,
73,"S.G. WARBURG & CO., INC.            ",1988/6/24,00:00.0,2355441,2403614,,,,,
74,"WERTHEIM SCHRODER & CO., INC.       ",1988/6/24,00:00.0,2200345,,,,5048,,
75,MANUFACTURERS HANOVER SECURITIES COR,1988/8/1,00:00.0,1036453,1035296,,21150,7003,1969/4/28,00:00.0
76,HARRIS GOVERNMENT SECURITIES       ,1988/9/1,00:00.0,1370689,1245415,BMO FINANCIAL CORP.,,6239,,
77,"COUNTY NATWEST GOV. SEC., INC.      ",1988/9/29,00:00.0,1153190,1152661,,,2968,,
78,"YAMAICHI INT'L (AMERICA), INC.     ",1988/9/29,00:00.0,1607572,,,,2968,,
79,"CONTINENTAL BANK, NATIONAL ASSOC.   ",1988/12/15,00:00.0,279431,1020603,,20511,3463,1973/9/10,00:00.0
80,"CHASE SECURITIES, INC               ",1988/12/20,00:00.0,1041680,1039502,JPMORGAN CHASE & CO.,20436,2968,1969/3/5,56:17.3
81,"CHASE SECURITIES, INC               ",1988/12/20,00:00.0,1041680,1039502,JPMORGAN CHASE & CO.,20436,2968,1987/5/21,00:00.0
82,"CHEMICAL SECURITIES, INC.          ",1989/4/1,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1969/3/5,56:17.3
83,"CHEMICAL SECURITIES, INC.          ",1989/4/1,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1987/5/21,00:00.0
84,"CITICORP SECURITIES MARKETS, INC.   ",1989/4/14,00:00.0,1042753,1042351,,20456,3066,1968/11/1,00:00.0
85,BT SECURITIES CORPORATION           ,1989/7/10,00:00.0,1152616,1032473,DEUTSCHE BANK TRUST CORPORATION,20266,2029,1969/5/16,00:00.0
86,"BNY SECURITIES, INC.                ",1989/8/1,00:00.0,1033461,133319,,,5491,,
87,BARCLAYS DE ZOETE WEDD GSI          ,1989/12/7,00:00.0,1390191,1131639,,,5491,,
88,UBS SECURITIES INC.                ,1989/12/7,00:00.0,1576959,1243215,,,5491,,
89,FUJI SECURITIES INC.               ,1989/12/28,00:00.0,1833577,1832909,MIZUHO CAPITAL MARKETS LLC,,5491,,
90,FIRST CHICAGO CAPITAL MARKETS      ,1990/1/2,00:00.0,1370456,1090567,,,16951,,
91,BARCLAYS DE ZOETE WEDD SECURITIES IN,1990/3/2,00:00.0,1909249,1667174,,,114628,,
92,"SBC GOVERNMENT SECURITIES, INC.",1990/3/29,00:00.0,1842234,1243206,UBS AG,,248136,,
93,LEHMAN GOVERNMENT SECURITIES INC    ,1990/8/1,00:00.0,1568860,,,,,,
94,DEUTSCHE BANK GSI                   ,1990/12/13,00:00.0,1916443,1576221,,,4684,,
95,PRUDENTIAL SECURITIES INCORPO  ,1991/2/25,00:00.0,2441728,,,,4710,,
96,CHEMICAL SECURITIES INC            ,1992/1/1,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1969/3/5,56:17.3
97,CHEMICAL SECURITIES INC            ,1992/1/1,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1987/5/21,00:00.0
98,EASTBRIDGE CAPITAL INC.             ,1992/6/18,00:00.0,1914476,1242759,"AOZORA BANK, LTD.",,4689,,
99,"HARRIS-NESBITT THOMSON SEC., INC.  ",1992/12/31,00:00.0,1448216,1245415,BMO FINANCIAL CORP.,,4689,,
100,"NATIONSBANK OF NORTH CAROLINA, N.A.",1993/7/6,00:00.0,480228,1073757,BANK OF AMERICA CORPORATION,3151,7647,1972/12/14,56:17.3
101,"CITICORP SECURITIES, INC.           ",1993/7/15,00:00.0,1042753,1042351,,20456,3066,1968/11/1,00:00.0
102,SMITH BARNEY SHEARSON INC.          ,1993/8/2,00:00.0,2144814,,,,,,
103,ZIONS FIRST NATIONAL BANK           ,1993/8/11,00:00.0,276579,1027004,,5057,11687,1974/1/1,56:17.3
104,HARRIS NESBITT THOMSON SEC. INC.   ,1993/9/8,00:00.0,,,,,15577,,
105,DEUTSCHE BANK SECURITIES CORPORATION,1993/10/1,00:00.0,1900666,2259679,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,15577,,
106,"NATIONSBANC CAPITAL MARKETS, INC.  ",1993/10/1,00:00.0,1823907,1073757,BANK OF AMERICA CORPORATION,3151,7647,1972/12/14,56:17.3
107,CS FIRST BOSTON CORPORATION        ,1993/10/12,00:00.0,1462089,1574834,"CREDIT SUISSE HOLDINGS (USA), INC.",,3689,,
108,"SANWA SECURITIES (USA) CO., L      ",1994/1/1,00:00.0,1490448,1487886,,,144496,,
109,"BA SECURITIES, INC.                ",1994/4/18,00:00.0,1482069,1026016,,437,2024,1972/12/14,00:00.0
110,"HSBC SECURITIES, INC.               ",1994/5/9,00:00.0,1032389,1032295,,,15576,,
111,SMITH BARNEY INC.                   ,1994/6/1,00:00.0,2754521,,,,15576,,
112,SBC CAPITAL MARKETS INC.       ,1995/1/3,00:00.0,1842234,1842216,,,15576,,
