Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,gvkey-V1,Holding_Company_RSSD_ID,holding_company_name,Permco,gvkey,linkdt,linkenddt
50,"BEAR,STEARNS & CO., INC.           ",1981-06-10,2008-10-01 00:00:00.000000,1246104.0,2968.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
51,"BEAR,STEARNS & CO., INC.           ",1981-06-10,2008-10-01 00:00:00.000000,1246104.0,2968.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
52,FIRST N/B OF BOSTON                 ,1983-03-21,1985-11-17 00:00:00.000000,,,,,,,,
53,SOUTHERN CALIF S&L ASSOC           ,1983-06-07,1983-08-05 00:00:00.000000,337078.0,,,,,,,
54,MANUFACTURERS HANOVER               ,1983-08-31,1988-07-29 00:00:00.000000,,,,,,,,
55,N.Y.HANSEATIC CORP.            ,1984-02-08,1984-07-26 00:00:00.000000,,,,,,,,
56,"GREENWICH CAPITAL MARKETS, INC.     ",1984-07-31,2009-04-01 00:00:00.000000,1851106.0,12124.0,1129319.0,"SBI SHINSEI BANK, LIMITED",,,,
57,"FIRST INTERSTATE CAPITAL MARKETS,INC",1986-11-03,1988-06-17 00:00:00.000000,1154647.0,12124.0,1154665.0,,,,,
58,DAIWA SECURITIES AMERICA INC.      ,1986-12-11,2010-04-01 00:00:00.000000,1607237.0,248136.0,3919345.0,DAIWA SECURITIES GROUP INC. (JAPAN),,,,
59,"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",1986-12-11,1987-05-15 00:00:00.000000,,7032.0,,,,,,
60,"NOMURA SECURITIES INTERNATIONAL,INC",1986-12-11,2007-11-30 00:00:00.000000,1445345.0,177745.0,3877520.0,"NOMURA HOLDINGS, INC.",,,,
61,SECURITY PACIFIC NATIONAL BANK      ,1986-12-11,1991-01-17 00:00:00.000000,753267.0,7647.0,1024526.0,,4205.0,9577.0,1972-12-14,1992-04-30 00:00:00.000000
62,THOMSON MCKINNON SECURITIES INC.   ,1986-12-11,1989-07-07 00:00:00.000000,1568833.0,7267.0,,,,,,
63,WESTPAC POLLOCK GOV'T SECURITIES INC,1987-02-04,1990-06-27 00:00:00.000000,1920226.0,7003.0,1858646.0,,,,,
64,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",1987-05-08,1988-06-19 00:00:00.000000,,7003.0,,,,,,
65,"L.F.ROTHSCHILD & CO., INC.     ",1987-05-18,1989-01-17 00:00:00.000000,,,,,,,,
66,CHASE MANHATTAN CAPITAL MARKETS CORP,1987-07-01,1988-12-19 00:00:00.000000,1041680.0,15929.0,1040795.0,,20432.0,2943.0,1965-03-15,1996-03-29 00:00:00.000000
67,"CRT GOVERNMENT SECURITIES,INC.     ",1987-12-22,1993-07-05 00:00:00.000000,,30128.0,,,,,,
68,"LLOYDS GOV'T SECURITIES, INC.      ",1987-12-22,1989-04-28 00:00:00.000000,1686193.0,30128.0,1020500.0,,,,,
69,THE NIKKO SECURITIES CO. INT'      ,1987-12-22,1999-01-03 00:00:00.000000,1606463.0,12406.0,,,,,,
70,SHEARSON LEHMAN                     ,1988-01-01,1990-07-31 00:00:00.000000,2386593.0,30128.0,,,,,,
71,"SANWA-BGK SECURITIES CO., L.P.     ",1988-06-20,1993-12-31 00:00:00.000000,,,,,,,,
72,"DILLON, READ & CO., INC.           ",1988-06-24,1997-09-02 00:00:00.000000,1573293.0,12223.0,,,,,,
73,"S.G. WARBURG & CO., INC.            ",1988-06-24,1995-07-26 00:00:00.000000,2355441.0,,2403614.0,,,,,
74,"WERTHEIM SCHRODER & CO., INC.       ",1988-06-24,1990-11-08 00:00:00.000000,2200345.0,5048.0,,,,,,
75,MANUFACTURERS HANOVER SECURITIES COR,1988-08-01,1991-12-31 00:00:00.000000,1036453.0,6239.0,1035296.0,,21150.0,7003.0,1969-04-28,1991-12-31 00:00:00.000000
76,HARRIS GOVERNMENT SECURITIES       ,1988-09-01,1992-12-30 00:00:00.000000,1370689.0,6239.0,1245415.0,BMO FINANCIAL CORP.,,,,
77,"COUNTY NATWEST GOV. SEC., INC.      ",1988-09-29,1989-01-13 00:00:00.000000,1153190.0,2968.0,1152661.0,,,,,
78,"YAMAICHI INT'L (AMERICA), INC.     ",1988-09-29,1997-12-04 00:00:00.000000,1607572.0,2968.0,,,,,,
79,"CONTINENTAL BANK, NATIONAL ASSOC.   ",1988-12-15,1991-08-30 00:00:00.000000,279431.0,2968.0,1020603.0,,20511.0,3463.0,1973-09-10,1994-08-31 00:00:00.000000
80,"CHASE SECURITIES, INC               ",1988-12-20,1996-03-31 00:00:00.000000,1041680.0,6186.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
81,"CHASE SECURITIES, INC               ",1988-12-20,1996-03-31 00:00:00.000000,1041680.0,6186.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
82,"CHEMICAL SECURITIES, INC.          ",1989-04-01,1991-12-31 00:00:00.000000,1155420.0,5793.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
83,"CHEMICAL SECURITIES, INC.          ",1989-04-01,1991-12-31 00:00:00.000000,1155420.0,5793.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
84,"CITICORP SECURITIES MARKETS, INC.   ",1989-04-14,1993-07-14 00:00:00.000000,1042753.0,15509.0,1042351.0,,20456.0,3066.0,1968-11-01,1998-10-07 00:00:00.000000
85,BT SECURITIES CORPORATION           ,1989-07-10,1997-10-22 00:00:00.000000,1152616.0,15509.0,1032473.0,DEUTSCHE BANK TRUST CORPORATION,20266.0,2029.0,1969-05-16,1999-06-30 00:00:00.000000
86,"BNY SECURITIES, INC.                ",1989-08-01,1990-08-09 00:00:00.000000,1033461.0,5491.0,133319.0,,,,,
87,BARCLAYS DE ZOETE WEDD GSI          ,1989-12-07,1990-03-01 00:00:00.000000,1390191.0,5491.0,1131639.0,,,,,
88,UBS SECURITIES INC.                ,1989-12-07,1996-02-29 00:00:00.000000,1576959.0,5491.0,1243215.0,,,,,
89,FUJI SECURITIES INC.               ,1989-12-28,2002-03-31 00:00:00.000000,1833577.0,5491.0,1832909.0,MIZUHO CAPITAL MARKETS LLC,,,,
90,FIRST CHICAGO CAPITAL MARKETS      ,1990-01-02,1999-03-31 00:00:00.000000,1370456.0,16951.0,1090567.0,,,,,
91,BARCLAYS DE ZOETE WEDD SECURITIES IN,1990-03-02,1996-06-30 00:00:00.000000,1909249.0,114628.0,1667174.0,,,,,
92,"SBC GOVERNMENT SECURITIES, INC.",1990-03-29,1995-01-02 00:00:00.000000,1842234.0,248136.0,1243206.0,UBS AG,,,,
93,LEHMAN GOVERNMENT SECURITIES INC    ,1990-08-01,1995-08-30 00:00:00.000000,1568860.0,,,,,,,
94,DEUTSCHE BANK GSI                   ,1990-12-13,1993-09-30 00:00:00.000000,1916443.0,4684.0,1576221.0,,,,,
95,PRUDENTIAL SECURITIES INCORPO  ,1991-02-25,2000-12-01 00:00:00.000000,2441728.0,4710.0,,,,,,
96,CHEMICAL SECURITIES INC            ,1992-01-01,1996-03-31 00:00:00.000000,1155420.0,4710.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
97,CHEMICAL SECURITIES INC            ,1992-01-01,1996-03-31 00:00:00.000000,1155420.0,4710.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
98,EASTBRIDGE CAPITAL INC.             ,1992-06-18,1998-05-29 00:00:00.000000,1914476.0,4689.0,1242759.0,"AOZORA BANK, LTD.",,,,
